group_size, ncues, path_length, decision_time
6, 2, 570.857, 1273
6, 2, 563.967, 1255
6, 2, 561.663, 1250
6, 2, 562.285, 1256
6, 2, 557.829, 1241
6, 2, 564.974, 1270
6, 2, 564.184, 1267
6, 2, 562.908, 1251
6, 2, 563.734, 1260
6, 2, 553.792, 1237
6, 2, 563.977, 1259
6, 2, 554.392, 1233
6, 2, 558.665, 1244
6, 2, 567.272, 1265
6, 2, 573.276, 1286
6, 2, 564.776, 1260
6, 2, 558.672, 1245
6, 2, 564.203, 1274
6, 2, 555.723, 1232
6, 2, 567.178, 1273
6, 2, 565.81, 1271
6, 2, 569.638, 1272
6, 2, 560.895, 1253
6, 2, 561.643, 1253
6, 2, 641.452, 1489
6, 2, 603.856, 1381
6, 2, 565.821, 1257
6, 2, 563.051, 1255
6, 2, 566.547, 1267
6, 2, 562.796, 1250
6, 2, 570.749, 1277
6, 2, 553.097, 1234
6, 2, 556.628, 1238
6, 2, 556.119, 1241
6, 2, 563.687, 1256
6, 2, 556.36, 1239
6, 2, 562.429, 1260
6, 2, 557.943, 1248
6, 2, 578.134, 1296
6, 2, 564.584, 1263
6, 2, 566.899, 1268
6, 2, 553.893, 1235
6, 2, 567.586, 1271
6, 2, 557.454, 1243
6, 2, 566.824, 1274
6, 2, 559.471, 1248
6, 2, 568.499, 1267
6, 2, 561.465, 1256
6, 2, 558.595, 1243
6, 2, 564.955, 1265
6, 2, 557.656, 1241
6, 2, 552.323, 1232
6, 2, 563.31, 1255
6, 2, 562.422, 1250
6, 2, 562.549, 1251
6, 2, 573.797, 1283
6, 2, 549.77, 1216
6, 2, 569.598, 1270
6, 2, 561.115, 1256
6, 2, 566.552, 1263
6, 2, 566.495, 1270
6, 2, 565.431, 1261
6, 2, 571.415, 1280
6, 2, 569.585, 1276
6, 2, 563.158, 1257
6, 2, 568.314, 1264
6, 2, 562.706, 1258
6, 2, 571.343, 1276
6, 2, 570.137, 1275
6, 2, 569.721, 1278
6, 2, 554.61, 1236
6, 2, 561.068, 1255
6, 2, 559.556, 1253
6, 2, 555.892, 1244
6, 2, 560.879, 1259
6, 2, 633.487, 1497
6, 2, 572.026, 1284
6, 2, 562.826, 1258
6, 2, 560.185, 1254
6, 2, 577.898, 1300
6, 2, 580.39, 1306
6, 2, 569.734, 1272
6, 2, 564.788, 1271
6, 2, 571.714, 1272
6, 2, 577.249, 1289
6, 2, 561.067, 1251
6, 2, 566.251, 1269
6, 2, 570.723, 1274
6, 2, 564.422, 1263
6, 2, 562.733, 1250
6, 2, 559.957, 1248
6, 2, 568.031, 1271
6, 2, 602.743, 1386
6, 2, 569.931, 1274
6, 2, 562.937, 1253
6, 2, 566.436, 1261
6, 2, 571.495, 1275
6, 2, 572.497, 1285
6, 2, 566.602, 1263
6, 2, 568.241, 1268
6, 2, 617.958, 1431
6, 2, 565.677, 1258
6, 2, 566.705, 1270
6, 2, 607.092, 1389
6, 2, 574.624, 1293
6, 2, 556.821, 1241
6, 2, 572.514, 1285
6, 2, 568.224, 1265
6, 2, 570.483, 1279
6, 2, 576.654, 1293
6, 2, 575.237, 1292
6, 2, 568.422, 1270
6, 2, 567.112, 1271
6, 2, 608.963, 1400
6, 2, 560.12, 1245
6, 2, 559.759, 1253
6, 2, 569.239, 1273
6, 2, 575.319, 1297
6, 2, 558.246, 1240
6, 2, 572.113, 1280
6, 2, 560.058, 1256
6, 2, 559.141, 1244
6, 2, 567.671, 1262
6, 2, 558.758, 1242
6, 2, 612.812, 1408
6, 2, 561.168, 1255
6, 2, 560.501, 1251
6, 2, 563.618, 1253
6, 2, 542.901, 1208
6, 2, 569.713, 1277
