time, speed
0, 0.724424
10, 0.723212
20, 0.718326
30, 0.717024
40, 0.712696
50, 0.710245
60, 0.704905
70, 0.701275
80, 0.697507
90, 0.695601
100, 0.691631
110, 0.686558
120, 0.683299
130, 0.676773
140, 0.673439
150, 0.669779
160, 0.663668
170, 0.659054
180, 0.655294
190, 0.647267
200, 0.641875
210, 0.637803
220, 0.630553
230, 0.625774
240, 0.619748
250, 0.615535
260, 0.60723
270, 0.60075
280, 0.596197
290, 0.589453
300, 0.582566
310, 0.573347
320, 0.566148
330, 0.557522
340, 0.55226
350, 0.54613
360, 0.534768
370, 0.52674
380, 0.522134
390, 0.511163
400, 0.504532
410, 0.497616
420, 0.374463
430, 0.483799
440, 0.333323
450, 0.33333
460, 0.33333
470, 0.298702
480, 0.333322
490, 0.445121
500, 0.333304
510, 0.439668
520, 0.436506
530, 0.437397
540, 0.33332
550, 0.3333
560, 0.430478
570, 0.333329
580, 0.423307
590, 0.333328
600, 0.333318
610, 0.41664
620, 0.333317
630, 0.413215
640, 0.333328
650, 0.333316
660, 0.333315
670, 0.407419
680, 0.333327
690, 0.333327
700, 0.333313
710, 0.333326
720, 0.396477
730, 0.333326
740, 0.333326
750, 0.333325
760, 0.333325
770, 0.388831
780, 0.333307
790, 0.333266
800, 0.386805
810, 0.333304
820, 0.381148
830, 0.333302
840, 0.378359
850, 0.333322
860, 0.376232
870, 0.333241
880, 0.333295
890, 0.333233
900, 0.333228
910, 0.333223
920, 0.370906
930, 0.333212
940, 0.333282
950, 0.367027
960, 0.333191
970, 0.364114
980, 0.363004
990, 0.333311
1000, 0.360843
1010, 0.361642
1020, 0.359496
1030, 0.358832
1040, 0.357807
1050, 0.356715
1060, 0.333067
1070, 0.333045
1080, 0.353303
1090, 0.333286
1100, 0.351349
1110, 0.35178
1120, 0.350326
1130, 0.333263
1140, 0.348061
1150, 0.332706
1160, 0.333061
1170, 0.333024
1180, 0.345457
1190, 0.343773
1200, 0.343505
1210, 0.34278
1220, 0.331351
1230, 0.339748
1240, 0.329932
1250, 0.336602
1260, 0.326204
1270, 0.32784
7, 0.724707
17, 0.720121
27, 0.717007
37, 0.715406
47, 0.712115
57, 0.708714
67, 0.705186
77, 0.701172
87, 0.697791
97, 0.693549
107, 0.68845
117, 0.685821
127, 0.681159
137, 0.676761
147, 0.67261
157, 0.667549
167, 0.663064
177, 0.658144
187, 0.653045
197, 0.647781
207, 0.640407
217, 0.636435
227, 0.630727
237, 0.625206
247, 0.616781
257, 0.612899
267, 0.606359
277, 0.600193
287, 0.59118
297, 0.586794
307, 0.577282
317, 0.570272
327, 0.565637
337, 0.558342
347, 0.548204
357, 0.543343
367, 0.535548
377, 0.527812
387, 0.517007
397, 0.512181
407, 0.475366
417, 0.468649
427, 0.487185
437, 0.307495
447, 0.33332
457, 0.333322
467, 0.453543
477, 0.333322
487, 0.452589
497, 0.333319
507, 0.444249
517, 0.445176
527, 0.439334
537, 0.436521
547, 0.433739
557, 0.333333
567, 0.33332
577, 0.333316
587, 0.333319
597, 0.422912
607, 0.421076
617, 0.419185
627, 0.333333
637, 0.333313
647, 0.333313
657, 0.333317
667, 0.409845
677, 0.333333
687, 0.40659
697, 0.33331
707, 0.333309
717, 0.401263
727, 0.402038
737, 0.333313
747, 0.395661
757, 0.396683
767, 0.39506
777, 0.393191
787, 0.389129
797, 0.387518
807, 0.386061
817, 0.333308
827, 0.38291
837, 0.384287
847, 0.381141
857, 0.379223
867, 0.378486
877, 0.333302
887, 0.375502
897, 0.333299
907, 0.373392
917, 0.37245
927, 0.370492
937, 0.371335
947, 0.333276
957, 0.333332
967, 0.366071
977, 0.366736
987, 0.36406
997, 0.362308
1007, 0.333255
1017, 0.36023
1027, 0.333246
1037, 0.358251
1047, 0.357224
1057, 0.358299
1067, 0.33333
1077, 0.354776
1087, 0.354237
1097, 0.333233
1107, 0.333169
1117, 0.333152
1127, 0.333131
1137, 0.333326
1147, 0.349212
1157, 0.333042
1167, 0.333114
1177, 0.332944
1187, 0.333031
1197, 0.34479
1207, 0.343487
1217, 0.332451
1227, 0.332576
1237, 0.340337
1247, 0.337259
2, 0.439601
12, 0.573349
22, 0.571059
32, 0.715937
42, 0.711681
52, 0.709055
62, 0.705569
72, 0.701648
82, 0.698277
92, 0.693568
102, 0.690674
112, 0.686417
122, 0.682346
132, 0.677378
142, 0.672326
152, 0.667669
162, 0.663642
172, 0.658945
182, 0.652838
192, 0.647599
202, 0.643299
212, 0.637928
222, 0.631922
232, 0.626609
242, 0.620144
252, 0.614026
262, 0.607323
272, 0.601344
282, 0.5954
292, 0.58691
302, 0.580031
312, 0.573667
322, 0.565861
332, 0.560637
342, 0.551849
352, 0.544333
362, 0.53671
372, 0.528329
382, 0.520517
392, 0.596566
402, 0.506126
412, 0.498684
422, 0.491002
432, 0.499998
442, 0.333332
452, 0.455875
462, 0.455248
472, 0.450887
482, 0.450075
492, 0.446167
502, 0.44658
512, 0.44348
522, 0.441841
532, 0.438557
542, 0.281797
552, 0.333331
562, 0.333331
572, 0.429595
582, 0.33333
592, 0.42503
602, 0.423471
612, 0.420897
622, 0.419176
632, 0.333333
642, 0.414343
652, 0.412276
662, 0.410712
672, 0.406247
682, 0.403992
692, 0.333328
702, 0.402679
712, 0.333328
722, 0.33333
732, 0.396886
742, 0.333333
752, 0.333327
762, 0.333329
772, 0.333333
782, 0.333329
792, 0.387525
802, 0.385709
812, 0.333328
822, 0.333333
832, 0.378951
842, 0.379928
852, 0.333327
862, 0.37563
872, 0.333326
882, 0.333332
892, 0.372487
902, 0.373575
912, 0.333317
922, 0.370853
932, 0.369605
942, 0.333313
952, 0.365595
962, 0.333332
972, 0.365303
982, 0.33332
992, 0.360953
1002, 0.361758
1012, 0.333316
1022, 0.359876
1032, 0.333313
1042, 0.356631
1052, 0.357234
1062, 0.333307
1072, 0.333271
1082, 0.333302
1092, 0.333255
1102, 0.35287
1112, 0.351569
1122, 0.349505
1132, 0.350178
1142, 0.3488
1152, 0.347756
1162, 0.347042
1172, 0.333058
1182, 0.333283
1192, 0.343819
1202, 0.342498
1212, 0.332566
1222, 0.333139
1232, 0.339118
1242, 0.330683
2, 0.287578
12, 0.720018
22, 0.717209
32, 0.713695
42, 0.710683
52, 0.706385
62, 0.702826
72, 0.699975
82, 0.696071
92, 0.692388
102, 0.687391
112, 0.683702
122, 0.679926
132, 0.675441
142, 0.669887
152, 0.6659
162, 0.661406
172, 0.656066
